Province,City,Location Name,Screen Aspect Ratio (AR),Digital Projector,Maximum AR for digital projection,Film Projector,Height,Width,Commercial films shown?
Jiangsu,Wuxi,Wuxi Livat Jinyi & IMAX,1.90:1,IMAX CoLa,1.90:1,No,12.68 m,23.22 m,Unk
Jiangsu,Wuxi,Wuxi Big World & IMAX,1.90:1,IMAX CoLa,1.90:1,No,10.83 m,20.82 m,Unk
Jiangsu,Wuxi,Wuxi Yaohan CGV & IMAX,1.90:1,IMAX CoLa,1.90:1,No,10.73 m,20.34 m,Unk
Jiangsu,Wuxi,Wuxi Jiangnan Joy City Big World & IMAX,1.90:1,IMAX CoLa,1.90:1,No,13.00 m,25.00 m,Unk
Jiangxi,Nanchang,Nanchang MixC & IMAX,1.90:1,IMAX CoLa,1.90:1,No,9.44 m,17.98 m,Unk
Liaoning,Dalian,Dalian Jingkai Wanda & IMAX,1.90:1,IMAX CoLa,1.90:1,No,11.51 m,22.01 m,Unk
Liaoning,Shenyang,Shenyang Olympic Wanda IMAX,1.90:1,IMAX CoLa,1.90:1,No,11.61 m,22.19 m,Unk
Liaoning,Shenyang,"IMAX, Liaoning Science & Technology Museum",1.43:1,IMAX GT Laser,1.43:1,No,22.00 m,28.98 m,Unk
Shandong,Jinan,Jinan Gaoxin Wanda & IMAX,1.90:1,IMAX CoLa,1.90:1,No,11.85 m,23.02 m,Unk
Shandong,Jinan,Jinan MixC & IMAX,1.90:1,IMAX CoLa,1.90:1,No,11.73 m,22.85 m,Unk
Shandong,Jinan,Shandong Science & Technology Museum,N/A,IMAX GT Laser,N/A,No,0 m,0 m,Unk
Shandong,Qingdao,Qingdao Wanda CBD Cinema IMAX,1.90:1,IMAX CoLa,1.90:1,No,11.00 m,21.20 m,Unk
Shanghai,Baoshan,Wanda Shanghai Baoshan & IMAX,1.90:1,IMAX CoLa,1.90:1,No,10.48 m,20.05 m,Unk
Shanghai,Hongkou,Jinyi Cinema & IMAX,1.90:1,IMAX CoLa,1.90:1,No,8.44 m,17.82 m,Unk
Shanghai,Huangpu,Shanghai One East Palace & IMAX,1.90:1,IMAX CoLa,1.90:1,No,10.11 m,19.49 m,Unk
Shanghai,Jing'an,Shanghai Daning IMIX Park Hoyts & IMAX,1.90:1,IMAX CoLa,1.90:1,No,13.46 m,25.88 m,Unk
Shanghai,Jinshan,Shanghai Jinshan Wanda & IMAX,1.90:1,IMAX Laser XT,1.90:1,No,12.10 m,23.16 m,Unk
Shanghai,Pudong,"IMAX Dome, Shanghai Science & Technology Museum",Dome 1.43:1,N/A,N/A,IMAX GT Dome 15/70 mm,0 m,23.0 m,Unk
Shanghai,Pudong,"IMAX 3D, Shanghai Science & Technology Museum",1.43:1,N/A,N/A,IMAX GT3D 15/70 mm, 18.3 m,24.3 m,Unk
Shanxi,Taiyuan,Taiyuan Wanda & IMAX,1.90:1,IMAX CoLa,1.90:1,No,14.06 m,26.51 m,Unk
Shanxi,Taiyuan,Taiyuan MixC & IMAX,1.90:1,IMAX CoLa,1.90:1,No,11.86 m,22.85 m,Unk
Sichuan,Chengdu,Chengdu MixC Ph2 Broadway & IMAX,1.90:1,IMAX CoLa,1.90:1,No,12.80 m,24.52 m,Unk
Sichuan,Chengdu,Chengdu Shin Kong Plaza Emperor & IMAX,1.90:1,IMAX CoLa,1.90:1,No,12.46 m,23.87 m,Unk
Yunnan,Kunming,Kunming Xishan Wanda & IMAX,1.90:1,IMAX CoLa,1.90:1,No,11.66 m,22.13 m,Unk
Yunnan,Kunming,Kunming Panxing Dadu LLC & IMAX,1.43:1,IMAX GT Laser,1.43:1,No,17.37 m,23.10 m,Unk
Zhejiang,Ningbo,Ningbo MixC & IMAX,1.90:1,IMAX CoLa,1.90:1,No,13.92 m,25.88 m,Unk
