Province,City,Location Name,Screen Aspect Ratio (AR),Digital Projector,Maximum AR for digital projection,Film Projector,Height,Width,Commercial films shown?
Northern Taiwan,New Taipei,New Taipei Yulon City VieShow & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 m,0 m,Yes
Northern Taiwan,New Taipei City,Vie Show Cinemas Banqiao Mega City IMAX,1.90:1,IMAX CoLa,1.90:1,No,11.15 m,21.30 m,Yes
Northern Taiwan,Taipei,Miramar IMAX,1.43:1,IMAX GT Laser,1.43:1,No,21.20 m,28.40 m,Yes
Southern Taiwan,Jiayi City,IN89 Cinemax Chiayi & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 m,0 m,Yes
Southern Taiwan,Kaohsiung,Kaohsiung Vie Show IMAX,1.90:1,IMAX CoLa,1.90:1,No,8.20 m,15.90 m,Yes
