Province,City,Location Name,Screen Aspect Ratio (AR),Digital Projector,Maximum AR for digital projection,Film Projector,Height,Width,Commercial films shown?
Banten,South Tangerang,Bintaro Xchange 2 XXI & IMAX,1.90:1,IMAX Laser XT,1.90:1,No,0 m,0 m,Yes
Banten,Tangerang,Alam Sutera XXI & IMAX,1.90:1,IMAX Laser XT,1.90:1,No,0 m,0 m,Yes
Central Java,Semarang,The Park Semarang XXI & IMAX,1.90:1,IMAX Laser XT,1.90:1,No,0 m,0 m,Yes
DKI Jakarta,East Jakarta,Keong Emas IMAX,1.43:1,N/A,N/A,IMAX GT3D 15/70 mm,21.50 m,29.30 m,No
DKI Jakarta,North Jakarta,Kelapa Gading XXI & IMAX,1.90:1,IMAX CoLa,1.90:1,No,14.30 m,23.60 m,Yes
DKI Jakarta,South Jakarta,Gandaria City XXI & IMAX,1.90:1,IMAX CoLa,1.90:1,No,10.80 m,20.40 m,Yes
West Java,Bandung,Summarecon Mall Bandung XXI & IMAX,1.90:1,IMAX Laser XT,1.90:1,No,0 m,0 m,Yes
West Java,Cikarang,AEON Mall Deltamas & IMAX,1.90:1,IMAX Laser XT,1.90:1,No,0 m,0 m,Yes
West Java,Depok,Margo City XXI & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 m,0 m,Yes
