Province,City,Location Name,Screen Aspect Ratio (AR),Digital Projector,Maximum AR for digital projection,Film Projector,Height,Width,Commercial films shown?
Central Region,Geylang,Shaw Paya Lebar Quarter & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 m,0 m,Yes
Central Region,Orchard,Shaw Theatres Lido & IMAX,1.90:1,IMAX CoLa,1.90:1,No,9.00 m,19.00 m,Yes
East Region,Changi,Shaw Theatres Jewel & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 m,0 m,Yes
