Province,City,Location Name,Screen Aspect Ratio (AR),Digital Projector,Maximum AR for digital projection,Film Projector,Height,Width,Commercial films shown?
Ahmadi,Fahaheel,Cinescape Al-Kout & IMAX,1.90:1,IMAX CoLa,1.90:1,No,11.80 m,21.00 m,Yes
Hawalli,Salmiya,"IMAX, The Scientific Center Kuwait",1.43:1,IMAX GT Laser,1.43:1,No,14.80 m,20.00 m,No
