Province,City,Location Name,Screen Aspect Ratio (AR),Digital Projector,Maximum AR for digital projection,Film Projector,Height,Width,Commercial films shown?
Western Visayas,Iloilo City,SM Iloilo City & IMAX,1.90:1,IMAX Laser XT,1.90:1,No,0 m,0 m,Yes
National Capital Region,Las Pinas,Vista Cinemas & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 m,0 m,Yes
