Province,City,Location Name,Screen Aspect Ratio (AR),Digital Projector,Maximum AR for digital projection,Film Projector,Height,Width,Commercial films shown?
Abu Dhabi,Abu Dhabi,VOX Al Maryah & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 m,0 m,Yes
Dubai,Dubai,VOX Cinemas & IMAX,1.90:1,IMAX GT Laser,1.90:1,No,12.70 m,23.90 m,Yes
