City,Location Name,Screen Aspect Ratio (AR),Digital Projector,Maximum AR for digital projection,Film Projector,Height,Width,Commercial films shown?
Auckland,Event Cinemas Queen Street & IMAX,1.43:1,IMAX GT Laser,1.43:1,No,19.9 m,27.0 m,Yes
Lower Hutt,Event Cinemas Queensgate & IMAX,1.90:1,IMAX CoLa,1.90:1,No,12.5 m,23.2 m,Yes
