State,City,Location Name,Screen Aspect Ratio (AR),Digital Projector,Maximum AR for digital projection,Film Projector,Height,Width,Commercial films shown?
New South Wales,Sydney,IMAX Sydney,1.43:1,IMAX GT Laser,1.43:1,No,23.8 m,29.0 m,Yes
Queensland,Broadbeach, "Event Cinemas Pacfic Fair",1.90:1,IMAX Laser XT,1.90:1,No,11.50 m, 21.30 m,Yes
Victoria,Melbourne,"IMAX, Melbourne Museum",1.43:1,IMAX GT Laser,1.43:1,"IMAX GT3D 15/70 mm, (2D Only)",23.0 m,32.0 m,Yes
