City,Location Name,Screen Aspect Ratio (AR),Digital Projector,Maximum AR for digital projection,Film Projector,Height,Width,Commercial films shown?
Amsterdam,Pathe Arena & IMAX,1.90:1,IMAX CoLa,1.90:1,No,10.4 m,20.4 m,Yes
Arnhem,Pathe Arnhem & IMAX,1.90:1,IMAX CoLa,1.90:1,No,12.0 m,21.0 m,Yes
Eindhoven,Pathe Eindhoven & IMAX,1.90:1,IMAX CoLa,1.90:1,No,7.0 m,18.0 m,Yes
Rotterdam,Pathe Schouwburgplein & IMAX,1.90:1,IMAX CoLa,1.90:1,No,9.0 m,18.0 m,Yes
The Hague,Pathe Spuimarkt & IMAX,1.90:1,IMAX CoLa,1.90:1,No,11.0 m,21.0 m,Yes
Tilburg,Pathe Tilburg & IMAX,1.90:1,IMAX CoLa,1.90:1,No,10.0 m,19.0 m,Yes
