City,Location Name,Screen Aspect Ratio (AR),Digital Projector,Maximum AR for digital projection,Film Projector,Height,Width,Commercial films shown?
Graz,CineplexX Graz & IMAX,1.90:1,IMAX CoLa,1.90:1,No,9.2 m,17.4 m,Yes
Hohenems,Cineplexx Hohenems & IMAX,1.90:1,IMAX CoLa,1.90:1,No,9.1 m,17.0 m,Yes
Vienna,CineplexX Apollo Vienna & IMAX,1.90:1,IMAX CoLa,1.90:1,No,9.5 m,17.6 m,Yes
Vienna,CineplexX Donau Plex IMAX Vienna,1.90:1,IMAX CoLa,1.90:1,No,11.0 m,20.5 m,Yes
Wiener Neudorf,CineplexX Westfield SCS & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 m,0 m,Yes
