City,Location Name,Screen Aspect Ratio (AR),Digital Projector,Maximum AR for digital projection,Film Projector,Height,Width,Commercial films shown?
Madrid,Kinepolis Madrid & IMAX,1.90:1,IMAX Laser XT,1.90:1,No,8.0 m,20.0 m,Yes
Valencia,"L'Hemisferic, Ciudad de las Artes y las Ciencias",Dome 1.43:1,No,No,IMAX GT Dome 15/70 mm,0 m,24.0 m,No
