City,Location Name,Screen Aspect Ratio (AR),Digital Projector,Maximum AR for digital projection,Film Projector,Height,Width,Commercial films shown?
Kyiv,Multiplex Lavina Mall & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 m,0 m,Unk
Kyiv,Planeta Kino River Mall & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 m,0 m,Unk
Kyiv,Respublica IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 m,0 m,Unk
