City,Location Name,Screen Aspect Ratio (AR),Digital Projector,Maximum AR for digital projection,Film Projector,Height,Width,Commercial films shown?
Chur,blue Cinema Chur & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 m,0 m,Yes
Ebikon-Lucerne,Pathe Mall of Switzerland & IMAX,1.90:1,IMAX GT Laser,1.90:1,No,12.5 m,22.5 m,Yes
Geneva,Pathe Balexert & IMAX,1.90:1,IMAX Laser XT,1.90:1,No,0 m,0 m,Yes
Spreitenbach,Pathe Spreitenbach & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 m,0 m,Yes
