State,City,Location Name,Screen Aspect Ratio (AR),Digital Projector,Maximum AR for digital projection,Film Projector,Height,Width,Commercial films shown?
CA,Yorba Linda,Regal Yorba Linda & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 m,0 m,Yes
CO,Broomfield,AMC Flatiron Crossing 14 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 m,0 m,Yes
CO,Denver,AMC Orchard 12 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,10.00 m,15.60 m,Yes
CO,Denver,AMC Westminster Promenade 24 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,10.60 m,15.90 m,Yes
CO,Highlands Ranch,AMC Highlands Ranch 24 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,10.60 m,17.50 m,Yes
CO,Loveland,Metrolux 12 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 m,0 m,Yes
CT,Milford,Cinemark Connecticut Post 14 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,10.10 m,18.20 m,Yes
DC,Washington,AMC Georgetown 14 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,7.00 m,13.70 m,Yes
DC,Washington,"Lockheed Martin IMAX, National Air & Space Museum",1.43:1,IMAX GT Laser,1.43:1,No,14.00 m,23.00 m,Yes
FL,Altamonte Springs,AMC Altamonte Mall 18 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,8.70 m,15.80 m,Yes
FL,Aventura,AMC Aventura 24 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,9.30 m,16.90 m,Yes
FL,Delray Beach,EVO Entertainment Delray Beach + IMAX,1.90:1,IMAX CoLa,1.90:1,No,16.80 m,25.90 m,Yes
FL,Fort Lauderdale,"Autonation IMAX, Museum of Discovery & Science",1.43:1,IMAX GT Laser,1.43:1,IMAX GT3D 15/70 mm,18.30 m,24.40 m,Yes
FL,Fort Myers,Regal Gulf Coast & IMAX,1.90:1,IMAX CoLa,1.90:1,No,9.70 m,16.30 m,Yes
FL,Homestead,EVO Entertainment Homestead & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 m,0 m,Yes
FL,Kennedy Space Center,"IMAX, Kennedy Space Center",1.90:1,IMAX CoLa,1.90:1,No,0 m,0 m,No
FL,Miami,CMX Dolphin 19 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,8.20 m,16.20 m,Yes
