State,City,Location Name,Screen Aspect Ratio (AR),Digital Projector,Maximum AR for digital projection,Film Projector,Height,Width,Commercial films shown?
Baja California,Tijuana,Cinemex Peninsula Tijuana & IMAX,1.90:1,IMAX Laser XT,1.90:1,No,0 m,0 m,Yes
Mexico City,Mexico City,Cinemex Antara & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 m,0 m,Yes
Nuevo León,Monterrey,Mega Pantalla IMAX Papalote Monterrey,1.43:1,IMAX GT Laser,1.43:1,No,16.00 m,21.00 m,Yes
